N,p_T,mse_K_inner,mse_g_sv
5,0.0500,0.009609,1.725140e-03
15,0.0500,0.000918,5.053762e-06
25,0.0050,0.000404,3.852241e-07
35,0.0050,0.000251,7.718571e-08
45,0.0010,0.000191,2.541079e-08
55,0.0010,0.000155,1.259150e-08
65,0.0010,0.000132,8.223702e-09
75,0.0005,0.000116,5.655805e-09
85,0.0005,0.000106,4.497944e-09
95,0.0005,0.000099,4.033458e-09
105,0.0005,0.000092,3.719337e-09
115,0.00001,0.043347643961583145,6.405276800650983e-07
125,0.00001,0.04343849919809027,4.998219367695344e-07
