,MSE
"(5, 0.1)",0.01340502328412952
"(15, 0.05)",0.001378107206047109
"(25, 0.01)",0.0006545641541120576
"(35, 0.01)",0.000425507977953861
"(45, 0.01)",0.000316548160726933
"(55, 0.01)",0.0002716781463712753
"(65, 0.005)",0.0002162623009995269
"(75, 0.005)",0.00019602588569445176
"(85, 0.005)",0.0001705450386384159
"(95, 0.005)",0.00016223867376135223
"(105, 0.001)",0.00015872750260936526
"(115, 0.001)",0.00015394924706033122
"(125, 0.001)",0.00014955897859249016
